plc_time_lb1_ms,plc_time_lb2_ms,plc_time_lb3_ms,plc_time_lb4_ms,plc_time_lb5_ms,plc_time_lb6_ms,plc_time_lb7_ms,plc_time_lb8_ms,speed_1_2_mm_per_sec,speed_2_3_mm_per_sec,speed_3_4_mm_per_sec,speed_4_5_mm_per_sec,speed_5_6_mm_per_sec,speed_6_7_mm_per_sec,speed_7_8_mm_per_sec
261426,266258,276615,282026,312335,312382,312552,312593,8.278145695364238,18.924398957226995,7.39234891886897,6.466726054967172,851.063829787234,1152.9411764705883,975.609756097561
266047,270837,276683,282057,317161,317210,317387,317431,8.350730688935283,33.52719808416011,7.44324525493115,5.583409298085688,816.3265306122449,1107.3446327683616,909.0909090909091
266067,270852,281949,285484,321050,321129,321446,321535,8.359456635318704,17.662431287735423,11.315417256011315,5.51088117865377,506.32911392405066,618.2965299684543,449.438202247191
266154,270918,281959,289238,323651,323700,323877,323920,8.39630562552477,17.752015216013042,5.495260337958511,5.695522041089124,816.3265306122449,1107.3446327683616,930.2325581395348
270712,276144,281993,292624,327030,327075,327236,327276,7.363770250368188,33.51000170969397,3.76258113065563,5.6966808114863685,888.8888888888889,1217.391304347826,1000.0
270732,276167,285394,296115,331301,331354,331544,331593,7.359705611775529,21.242007152920777,3.730995242981065,5.570397317114762,754.7169811320755,1031.578947368421,816.3265306122449
270817,276271,285431,299907,335145,335194,335374,335419,7.3340667400073345,21.397379912663755,2.7631942525559547,5.562177195073501,816.3265306122449,1088.888888888889,888.8888888888889
275954,281659,289179,304754,339283,339333,339514,339560,7.011393514460999,26.06382978723404,2.568218298555377,5.676387963740624,800.0,1082.8729281767955,869.5652173913044
275981,285094,292510,304808,343043,343103,343325,343381,4.389333918577856,26.429341963322546,3.252561392096276,5.126193278409834,666.6666666666666,882.8828828828829,714.2857142857143
276114,285108,292519,308863,347439,347567,348314,348540,4.447409384033801,26.447173121036297,2.447381302006853,5.080879303193695,312.5,262.38286479250337,176.99115044247787
281431,285168,292563,312079,350929,350976,351150,351193,10.703773080010704,26.504394861392832,2.0496003279360524,5.045045045045045,851.063829787234,1126.4367816091954,930.2325581395348
281457,288799,296058,312128,356051,356100,356278,356322,5.448106782892944,27.000964320154292,2.4891101431238334,4.462354575051795,816.3265306122449,1101.123595505618,909.0909090909091
281539,288815,299841,316949,360132,360178,360343,360384,5.497526113249038,17.77616542717214,2.3380874444704234,4.5388231479980545,869.5652173913044,1187.878787878788,975.609756097561
284979,288883,304684,320601,363937,363982,364147,364188,10.245901639344263,12.404278210239859,2.5130363762015455,4.522798597009415,888.8888888888889,1187.878787878788,975.609756097561
284998,292208,304742,320683,369403,369449,369612,369653,5.547850208044383,15.637466092229136,2.50925286995797,4.022988505747127,869.5652173913044,1202.4539877300613,975.609756097561
285075,292222,308802,323438,374050,374101,374289,374337,5.596753882748006,11.821471652593486,2.7329871549603717,3.8725993835454045,784.3137254901961,1042.5531914893618,833.3333333333334
288668,292284,312069,326833,377670,377715,377882,377924,11.061946902654867,9.906494819307555,2.7092928745597398,3.85545960619234,888.8888888888889,1173.6526946107786,952.3809523809524
288690,295701,316890,331067,381298,381355,381561,381612,5.705320211096848,9.250082590023124,2.8214713973337093,3.901972885270052,701.7543859649123,951.4563106796116,784.3137254901961
288778,295715,320503,334873,384859,384869,385112,385164,5.766181346403345,7.907051799257705,2.7835768963117604,3.921097907414076,4000.0,806.5843621399177,769.2307692307693
292088,295778,320517,334926,389421,389464,389619,389658,10.840108401084011,7.922713125025264,2.7760427510583665,3.596660244059088,930.2325581395348,1264.516129032258,1025.6410256410256
292108,299390,320585,339011,393172,393218,393388,393430,5.492996429552321,9.247464024534088,2.17084554433952,3.6188401248130573,869.5652173913044,1152.9411764705883,952.3809523809524
292190,299408,323377,339020,396694,396745,396931,396977,5.541701302299806,8.177228920689224,2.5570542734769544,3.3984117626660195,784.3137254901961,1053.763440860215,869.5652173913044
