local_timestamp,array,light_barrier,force_sensor,window_ms,minimum_rise,light_barrier_plc_time_ms,peak_plc_time_ms,peak_delay_ms,baseline,peak,peak_rise,valid,reason
2026-08-02T19:27:24.975,1,2,1,2000,0.05000000074505806,33308,31317,19,0.009961504489183426,0.24018067121505737,0.0,1,
2026-08-02T19:27:27.051,1,2,1,2000,0.05000000074505806,33308,33334,26,0.009961504489183426,0.3555406332015991,0.3455791175365448,1,
2026-08-02T19:27:33.008,1,2,1,2000,0.05000000074505806,39357,39382,25,0.009735669940710068,0.3558458089828491,0.34611013531684875,1,
2026-08-02T19:27:59.245,1,2,1,2000,0.05000000074505806,65603,65629,26,0.009680724702775478,0.35431990027427673,0.3446391820907593,1,
2026-08-02T19:28:03.084,1,2,1,2000,0.05000000074505806,69395,69421,26,0.009650212712585926,0.3564561903476715,0.34680598974227905,1,
2026-08-02T19:28:06.904,1,2,1,2000,0.05000000074505806,73193,73218,25,0.009705145843327045,0.3555406332015991,0.34583547711372375,1,
2026-08-02T19:28:17.476,1,2,1,2000,0.05000000074505806,83739,83765,26,0.010059150867164135,0.3561510145664215,0.3460918664932251,1,
2026-08-02T19:28:19.997,1,2,1,2000,0.05000000074505806,86322,86348,26,0.00989435613155365,0.35157322883605957,0.3416788578033447,1,
2026-08-02T19:28:22.316,1,2,1,2000,0.05000000074505806,88626,88652,26,0.009790602140128613,0.35309916734695435,0.34330856800079346,1,
2026-08-02T19:28:26.833,1,2,1,2000,0.05000000074505806,93118,93145,27,0.010022539645433426,0.35157322883605957,0.34155067801475525,1,
2026-08-02T19:28:29.468,1,2,1,2000,0.05000000074505806,95753,95778,25,0.009924878366291523,0.35493025183677673,0.3450053632259369,1,
2026-08-02T19:28:32.886,1,2,1,2000,0.05000000074505806,99184,99209,25,0.009479304775595665,0.3555406332015991,0.3460613191127777,1,
2026-08-02T19:29:28.302,1,2,1,2000,0.05000000074505806,154672,154698,26,0.009955305606126785,0.35370951890945435,0.34375420212745667,1,
2026-08-02T19:29:35.245,1,2,1,2000,0.05000000074505806,161532,162154,622,0.00966844242066145,0.3582873046398163,0.34861886501312256,1,
2026-08-02T19:29:41.499,1,2,1,2000,0.05000000074505806,167785,167811,26,0.009924789890646935,0.35279396176338196,0.3428691625595093,1,
2026-08-02T19:29:47.285,1,2,1,2000,0.05000000074505806,173577,173603,26,0.009613512083888054,0.3552354574203491,0.3456219434738159,1,
2026-08-02T19:30:21.345,1,2,1,2000,0.05000000074505806,207641,207666,25,0.009833398275077343,0.35401472449302673,0.3441813290119171,1,
2026-08-02T19:30:23.882,1,2,1,2000,0.05000000074505806,210196,210223,27,0.009851708076894283,0.3506576716899872,0.3408059775829315,1,
2026-08-02T19:30:26.760,1,2,1,2000,0.05000000074505806,213055,213990,935,0.009796769358217716,0.36255988478660583,0.3527631163597107,1,
2026-08-02T19:30:30.606,1,2,1,2000,0.05000000074505806,216887,217830,943,0.009595340117812157,0.3628650903701782,0.3532697558403015,1,
