local_timestamp,part_number,edge,distance_1_2_mm,distance_2_3_mm,distance_3_4_mm,distance_4_5_mm,distance_5_6_mm,distance_6_7_mm,distance_7_8_mm,plc_time_lb1_ms,plc_time_lb2_ms,plc_time_lb3_ms,plc_time_lb4_ms,plc_time_lb5_ms,plc_time_lb6_ms,plc_time_lb7_ms,plc_time_lb8_ms,speed_1_2_mm_per_sec,speed_2_3_mm_per_sec,speed_3_4_mm_per_sec,speed_4_5_mm_per_sec,speed_5_6_mm_per_sec,speed_6_7_mm_per_sec,speed_7_8_mm_per_sec,acceleration_after_lb2_mm_per_sec2,acceleration_after_lb3_mm_per_sec2,acceleration_after_lb4_mm_per_sec2,acceleration_after_lb5_mm_per_sec2,acceleration_after_lb6_mm_per_sec2,acceleration_after_lb7_mm_per_sec2,maximum_speed_change_percent,consistent,diagnosis
2026-08-18T15:38:32.671,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7994027,7994546,8008470,8008716,8009688,8009874,8010580,8010799,77.07129094412332,14.07641482332663,162.60162601626016,201.64609053497944,215.05376344086022,277.62039660056655,182.64840182648402,-24.329823870827695,111.19128529175154,60.26210612249743,23.673624330662463,130.61425185838303,-185.22307592748766,91.34300488365412,False,LB 1-2 -> LB 2-3: speed change 81.7%; LB 2-3 -> LB 3-4: speed change 91.3%
2026-08-18T15:38:53.357,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8007189,8007429,8030265,8030395,8030873,8030982,8031395,8031502,166.66666666666666,8.58293921877737,307.6923076923077,410.0418410041841,366.9724770642202,474.5762711864407,373.8317757009346,-117.39030055993452,400.85122613298523,311.27014898763923,-141.80301886208042,383.7027044515953,-362.17135868437384,97.21054475389735,False,LB 1-2 -> LB 2-3: speed change 94.9%; LB 2-3 -> LB 3-4: speed change 97.2%
2026-08-18T15:39:09.045,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8045517,8045691,8046215,8046316,8046679,8046762,8047089,8047177,229.88505747126436,374.0458015267176,396.03960396039605,539.9449035812672,481.9277108433735,599.388379204893,454.54545454545456,368.91153386100876,71.7673994294185,570.7336059249009,-251.21262891800734,538.1869095217558,-646.8426223641301,38.54093361482525,True,
2026-08-18T15:39:16.354,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8052743,8052910,8053439,8053547,8053940,8054032,8054397,8054496,239.52095808383234,370.51039697542535,370.3703703703704,498.72773536895676,434.7826086956522,536.986301369863,404.04040404040404,338.59180044699275,-0.43958906187260055,472.6912829574695,-252.93829322903196,420.84055523173174,-530.1086430582727,35.35378223145546,True,
2026-08-18T15:39:23.353,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8059634,8059814,8060378,8060494,8060918,8061018,8061412,8061520,222.22222222222223,347.5177304964539,344.82758620689657,462.2641509433962,400.0,497.46192893401013,370.3703703703704,302.48244474586124,-7.891986441234251,401.618987449764,-227.49214087889402,370.6286895709582,-467.3481334341559,36.054421768707485,True,
2026-08-18T15:39:30.420,4,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8066604,8066796,8067393,8067516,8067959,8068062,8068472,8068584,208.33333333333334,328.3082077051926,325.2032520325203,442.4379232505643,388.3495145631068,478.0487804878049,357.14285714285717,272.81144690177166,-8.597983534190538,381.33118982095476,-190.40665452911665,329.3020807816811,-427.8797293123482,36.54336734693877,True,
2026-08-18T15:46:29.230,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8485005,8485190,8485930,8486078,8486645,8486783,8487304,8487438,216.21621621621622,264.86486486486484,270.27027027027026,345.679012345679,289.8550724637681,376.19961612284067,298.5074626865672,99.16925629248112,12.256874373228037,196.8133923064371,-150.33057857333816,243.68723787286612,-222.1162961500016,22.951789411416733,True,
2026-08-18T15:46:37.791,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8492879,8493065,8493961,8494140,8494854,8495039,8495813,8496028,215.05376344086022,218.75,223.46368715083798,274.5098039215686,216.21621621621622,253.22997416020672,186.04651162790697,6.794242923400569,8.832444809523698,107.71022446614599,-121.21262836525626,73.62698160305679,-125.05133611977138,26.530612244897966,True,
2026-08-18T15:47:01.982,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8517213,8517394,8518320,8518500,8519180,8519349,8520035,8520224,220.99447513812154,211.66306695464363,222.22222222222223,288.2352941176471,236.68639053254438,285.7142857142857,211.64021164021165,-17.107220885287585,19.41297515566426,142.7833420580669,-114.65736149051862,108.52629490635756,-156.1062452462327,25.925925925925924,True,
2026-08-18T15:47:11.667,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8526701,8526879,8527734,8527919,8528672,8528862,8529671,8529909,224.7191011235955,229.23976608187135,216.21621621621622,260.2921646746348,210.52631578947367,242.27441285537702,168.0672268907563,8.695745523196418,-24.58228050175224,88.99389337351543,-99.28254809795769,60.91339612088342,-129.02668800707085,30.629394614988858,True,
