timestamp,AvgPressureN1,AvgPressureN2,EstimatedVelocityArray1,EstimatedVelocityArray2
2026-07-10T10:14:08.654,0.00891140103340149,0.9551668167114258,191.67579650878906,397.8685607910156
2026-07-10T10:17:03.535,0.008850356563925743,0.9576529860496521,189.80477905273438,364.82086181640625
2026-07-10T10:17:08.808,0.008913427591323853,0.9561516046524048,189.18919372558594,412.52301025390625
2026-07-10T10:17:14.077,0.008805599994957447,0.9575290083885193,192.3076934814453,405.06329345703125
2026-07-10T10:17:18.487,0.008864597417414188,0.9572055339813232,188.5775909423828,389.5652160644531
2026-07-10T10:17:22.606,0.008923607878386974,0.9573437571525574,190.63180541992188,421.8455810546875
2026-07-10T10:17:25.959,0.008799496106803417,0.9582634568214417,190.42437744140625,400.715576171875
2026-07-10T10:17:30.178,0.008832053281366825,0.9570488333702087,189.59913635253906,402.877685546875
2026-07-10T10:17:34.493,0.008889013901352882,0.9551688432693481,189.59913635253906,351.09716796875
2026-07-10T10:17:38.710,0.008720149286091328,0.9548656940460205,190.42437744140625,419.47564697265625
2026-07-10T10:17:45.994,0.009000922553241253,0.9536694288253784,190.42437744140625,417.1322021484375
2026-07-10T10:17:56.347,0.008712004870176315,0.9553214311599731,192.3076934814453,430.76922607421875
2026-07-10T10:18:02.575,0.00881781056523323,0.9538993239402771,190.42437744140625,439.2156982421875
2026-07-10T10:18:12.824,0.008764908649027348,0.9567965865135193,190.83969116210938,447.10577392578125
2026-07-10T10:21:44.439,0.008886978961527348,0.9541719555854797,189.80477905273438,401.4336853027344
2026-07-10T10:21:47.792,0.00878525897860527,0.9518443942070007,190.63180541992188,411.76470947265625
2026-07-10T10:21:52.969,0.008634691126644611,0.9544974565505981,191.88597106933594,355.5555419921875
2026-07-10T10:21:56.228,0.008718110620975494,0.9559338092803955,190.21739196777344,391.6083984375
2026-07-10T10:21:59.488,0.008893088437616825,0.9560457468032837,191.04803466796875,423.4404602050781
2026-07-10T10:22:02.744,0.008840191178023815,0.954882025718689,190.21739196777344,407.2727355957031
2026-07-10T10:22:06.000,0.009127059951424599,0.9565727710723877,190.42437744140625,437.5
2026-07-10T10:22:10.409,0.008716080337762833,0.9572562575340271,191.2568359375,437.5
2026-07-10T10:22:14.530,0.00863672699779272,0.9574557542800903,191.88597106933594,384.8797302246094
